id,lat,lon,name,operator,brand
27069561,47.3963906,8.6233174,SOCAR Zur Schmiede,SOCAR Energy Switzerland,SOCAR
27125026,47.4010933,8.6199554,BP Garage Tresch,Tresch Automobile,BP
34078845,47.4956958,8.7129812,Migrol Service Zürcherstrasse,Migrol,Shell
47744371,47.3995257,8.4973287,Coop Tankstelle Höngg,Coop Mineraloel,Coop
52741787,47.3815928,8.5095448,Shell Hardau,Shell (Switzerland),Shell
59185470,47.2376219,8.7276971,AVIA,AVIA,Avia
73124669,47.3811098,8.4921479,Migrol Service Flurstrasse,Migrol,Migrol
83423432,47.3374315,8.5302419,Shell Wollishofen,unknown,Shell
83424882,47.3398175,8.5298146,Avia Service Wollishofen,Avia Osterwalder Zürich,Avia
84513888,47.3236425,8.5187472,Eni Sihltalstrasse,unknown,Eni
101392168,47.3890134,8.695437,AVIA,unknown,unknown
103096904,47.3459074,8.534658,Avia Wollishofen Franz,A.H. Meyer & Cie,Avia
103102957,47.3485725,8.5340966,BP Service Wollishofen,unknown,BP
111247327,47.5080581,8.5437196,Migrol Tankstelle AMAG Bachenbülach,Migrol,Migrol
135633811,47.3980896,8.5399105,Migrol Tankstelle Milchbuck,Migrol,Migrol
179047160,47.2327033,8.6143556,Tankstelle Svabic,Tankstelle Svabic,Independent
249500787,47.374827,8.6428183,SOCAR Fällanden,SOCAR Energy Switzerland,SOCAR
251540984,47.5101487,8.3679597,unknown,unknown,unknown
255007349,47.4436565,8.465643,Coop Tankstelle Regensdorf,Coop Mineraloel,Coop
264065504,47.4155139,8.5903409,Shell Wallisellen Zentrum,Garage Hans Odermatt AG,Shell
264794355,47.4128994,8.6168482,Coop Tankstelle Dietlikon,Coop Mineraloel,Coop
264889459,47.3042342,8.6906319,Avia,unknown,Avia
265569040,47.2742006,8.7248486,Avia,unknown,unknown
266953468,47.2531303,8.6194521,Avia,A.H. Meyer & Cie,Avia
268469414,47.3695212,8.5107127,Tankstelle Wyss,unknown,Independent
269050377,47.3566826,8.7118888,Oberland Garage Uster,private,unknown
269120240,47.3521481,8.722673,Shell Im Brunnen,Shell (Switzerland),Shell
271223009,47.3534438,8.5768921,BP Balgrist,unknown,BP
274815548,47.2466719,8.4610784,Avia Zürichstrasse,Karl Graf Automobile AG,Avia
278205018,47.2969244,8.8399034,Avia,Avia Osterwalder Zürich,Avia
283181019,47.3860523,8.5319464,Migrol Service Sihlquai,Migrol,Migrol
293011493,47.5601728,8.4925388,Shell,Shell,Shell
293609533,47.5285053,8.466666,unknown,unknown,Agrola
296941470,47.2140841,8.7004828,Avia,Avia Vereinigung,Avia
297302039,47.4070106,8.7269393,Shell Illnau,unknown,Shell
297993545,47.2299301,8.6671966,AVIA Wädenswil,AVIA,Avia
298856019,47.3297078,8.9190317,unknown,sikkens,unknown
299752761,47.3803229,8.5463543,Scall,unknown,Independent
299813447,47.2867307,8.5433519,Voegtlin-Meyer,Voegtlin-Meyer,Independent
300418712,47.393705,8.5059844,Avia Hardturmstrasse,A.H. Meyer & Cie,Avia
301208147,47.3728411,8.5211422,BP Service Wiedikon,unknown,BP
303699177,47.4518342,8.7012565,BP Kemptthal Nord,unknown,BP
304917714,47.4541266,8.4383363,SOCAR Buchs ZH,SOCAR Energy Switzerland,Socar
304992273,47.4585509,8.4068901,Avia Harbernstrasse,Schätzle,Avia
304993060,47.4460704,8.4631797,Agrola Regensdorf,unknown,Agrola
305701426,47.4448843,8.6233539,Avia Bassersdorf,Avia Osterwalder Zürich,Avia
305707837,47.4445742,8.6251146,SOCAR Bassersdorf,SOCAR Energy Switzerland,SOCAR
307121153,47.4186697,8.6844858,AVIA,unknown,unknown
307121156,47.4220428,8.6848857,Migrol Tankstelle Effretikon,Migrol,Migrol
307661791,47.2370963,8.6374727,Ruedi Rüssel,unknown,Ruedi Rüssel
307662123,47.2375535,8.6452619,Winterberg,unknown,unknown
307669315,47.2191945,8.669648,unknown,unknown,unknown
309112387,47.4344986,8.7635897,AVIA,unknown,Avia
309425295,47.327756,8.7824754,BP Zürcherstrasse,unknown,BP
310205995,47.3968963,8.4404596,BP,unknown,BP
310314796,47.4294761,8.6871544,SOCAR Effretikon,SOCAR Energy Switzerland,SOCAR
311319045,47.229728,8.4785611,Migrol Tankstelle Mettmenstetten,Migrol,Migrol
311976893,47.4010238,8.4915916,Shell Winzerstrasse,Moveri,Shell
312012092,47.4141963,8.518214,Migrol Service Glaubten,Migrol,Migrol
313268393,47.3802915,8.4940158,Shell Rautistrasse,Shell (Switzerland),Shell
318410355,47.419653,8.556201,Migrol Service Thurgauerstrasse,Migrol,Shell
320182673,47.4938451,8.546728,Migrol Tankstelle Winkel,Migrol,Migrol
321271634,47.49898,8.7927573,AVIA,unknown,Avia
321362564,47.3917824,8.5424928,Tamoil,unknown,Tamoil
321853683,47.5062912,8.7141595,Avia,unknown,Avia
321854756,47.4980696,8.746625,unknown,Avia,unknown
321855166,47.5111545,8.7604652,BP,unknown,unknown
324343384,47.3015936,8.4484256,Freie Tankstelle Zürcherstrasse,unknown,Independent
330142805,47.524994,8.5392925,Soli-Tankstelle,BP,BP
331317250,47.3674023,8.4943259,Migrol Service Triemli,Migrol,Shell
335477010,47.2669797,8.6508957,Avia,unknown,Avia
338639819,47.3812597,8.5377769,Avia Service HB,Avia Osterwalder Zürich,Avia
339612237,47.2859721,8.5636417,Eni Thalwil,unknown,Eni
339612238,47.2864826,8.565863,BP Service Thalwil,unknown,BP
339631367,47.2906713,8.4444262,Ruedi Rüssel Ottenbacherstrasse,H.P. Breitschmid,Ruedi Rüssel
339631500,47.2963684,8.4486157,Ruedi Rüssel Affolternstrasse,Automobile Reichenbach,Ruedi Rüssel
341961288,47.4388196,8.4578719,unknown,unknown,Avia
344194669,47.3176278,8.6669872,Shell Heuberg,Shell (Switzerland),Shell
355232174,47.3416225,8.7155853,Avia,Avia,Avia
362795202,47.4258408,8.5478098,Shell Kolbenacker,unknown,Shell
362798141,47.4310129,8.5442164,Avia Glattalstrasse,Avia Osterwalder Zürich,Avia
370746834,47.4595255,8.3854725,Avia Landstrasse,Avia Osterwalder Zürich,Avia
371009114,47.5183128,8.5927268,Migrol Tankstelle Embrach,Migrol,Migrol
374188679,47.4911254,8.5032949,Avia,unknown,Avia
377012210,47.4117079,8.4558245,Migrol Service,Migrol,Migrol
407913989,47.5127502,8.5431018,BP Tankstelle,BP Service,BP
410844750,47.5008151,8.5978083,Landi,unknown,unknown
428876091,47.31532,8.5221094,Dangel,unknown,unknown
432615367,47.3159652,8.5302907,Avia Adliswil,Garage Sulzer,Avia
435573454,47.6843704,8.6600427,Coop Pronto,Coop Mineraloel,Coop Pronto
467136838,47.4325203,8.4684736,Tamoil,unknown,Tamoil
474982856,47.3702456,8.5125042,Avia Birmensdorferstrasse,A.H. Meyer & Cie,Avia
480320550,47.3617439,8.5181345,Tamoil,Tamoil,Tamoil
500922433,47.4161953,8.5640414,SOCAR Opfikon,SOCAR Energy Switzerland,SOCAR
503621496,47.3160213,8.5798679,SOCAR Küsnacht-See,SOCAR Energy Switzerland,SOCAR
505816846,47.4302305,8.4658983,Eni,unknown,Eni
534826542,47.2481368,8.6048958,Migrol Tankstelle AMAG Horgen,Migrol,Migrol
534836242,47.2376903,8.611854,avec | BP Tankstelle,BP,BP
542416037,47.4473818,8.4378679,Avia Dällikon,Avia Osterwalder Zürich,Avia
549072799,47.2713859,8.580952,Avia,Avia,Avia
