web-scraper-order,address_raw,lat,lon,id,brand,geometry,closest_sup_geom,distance
1662023695-433,"Sunnenbergstrasse 15, 8633 Wolfhausen, ZH",47.25571441650391,8.804975509643555,338156406,Volg,POINT (8.804975509643555 47.25571441650391),POINT (8.8208789 47.2696707),2340.7091051754887
1662023720-634,"Blumenbergstrasse 7, 8633 Wolfhausen, ZH",47.254878997802734,8.793745994567871,956494681,Coop,POINT (8.793745994567871 47.254878997802734),POINT (8.7734457 47.2532311),2264.541955781327
1662023745-834,"8608 Bubikon, ZH",47.27738571166992,8.80030632019043,338156406,Volg,POINT (8.80030632019043 47.27738571166992),POINT (8.8208789 47.2696707),2439.5975242442487
1662023701-503,"8608 Bubikon, ZH",47.27738571166992,8.80030632019043,338156406,Volg,POINT (8.80030632019043 47.27738571166992),POINT (8.8208789 47.2696707),2439.5975242442487
1662023745-820,"Lavaterstr. 63, 8002 Zürich, ZH",47.36137771606445,8.53333854675293,262400822,Migros,POINT (8.53333854675293 47.36137771606445),POINT (8.5309446 47.3640724),398.3272772206011
1662023739-771,"Parkring 59, 8002 Zürich, ZH",47.36689758300781,8.528817176818848,262400822,Migros,POINT (8.528817176818848 47.36689758300781),POINT (8.5309446 47.3640724),390.482466465507
1662023720-640,"Flobotstrasse 2, 8044 Zürich, ZH",47.37957763671875,8.570284843444824,7050614306,Denner,POINT (8.570284843444824 47.37957763671875),POINT (8.5594892 47.3788745),1202.907892493703
1662023686-384,"Hinterbergstrasse 57, 8044 Zürich, ZH",47.38201522827149,8.556857109069824,995471959,Migros,POINT (8.556857109069824 47.38201522827149),POINT (8.5594679 47.3793846),409.81302665055864
1662023789-1164,"Nansenstrasse 7, 8050 Zürich, ZH",47.410762786865234,8.545214653015137,4896104283,Coop,POINT (8.545214653015137 47.410762786865234),POINT (8.5467405 47.4104766),172.56017097624496
1662023764-980,"Wehntalerstrasse 223, 8057 Zürich, ZH",47.40802001953125,8.529781341552734,452160401,Spar,POINT (8.529781341552734 47.40802001953125),POINT (8.5280301 47.4115497),434.2508374934995
1662023767-1007,"Baumackerstrasse 47, 8050 Zürich, ZH",47.40944290161133,8.542278289794922,4838591612,Lidl,POINT (8.542278289794922 47.40944290161133),POINT (8.5426618 47.4104082),114.39147979981043
1662023704-520,"Zwischenbächen 139, 8048 Zürich, ZH",47.380489349365234,8.4798002243042,4827130190,Migros,POINT (8.4798002243042 47.380489349365234),POINT (8.485718 47.3752033),878.0483266474052
1662023698-468,"Hallwylstrasse 84, 8004 Zürich, ZH",47.369815826416016,8.526166915893555,651273252,Coop,POINT (8.526166915893555 47.369815826416016),POINT (8.5305624 47.3732882),620.2293706133769
1662023789-1172,"Pfingstweidstrasse 104 E, 8005 Zürich, ZH",47.39086151123047,8.509053230285645,3503429368,Migros,POINT (8.509053230285645 47.39086151123047),POINT (8.5086792 47.3901062),92.89295815898804
1662023752-867,"Altwiesenstrasse 346, 8051 Zürich, ZH",47.39995956420898,8.590506553649902,2857736035,ALDI,POINT (8.590506553649902 47.39995956420898),POINT (8.5918795 47.405948),675.8793585576713
1662023761-945,"Badenerstrasse 250, 8004 Zürich, ZH",47.3759880065918,8.516037940979004,48932835,Migros,POINT (8.516037940979004 47.3759880065918),POINT (8.522895 47.37502),769.8651229021377
1662023774-1056,"Schöntalstrasse 27, 8004 Zürich, ZH",47.37080764770508,8.526028633117676,310789073,Denner,POINT (8.526028633117676 47.37080764770508),POINT (8.5234086 47.3748981),535.9169817693148
1662023761-941,"Am Wasser 161, 8049 Zürich, ZH",47.3994369506836,8.495816230773926,3582021500,Alnatura,POINT (8.495816230773926 47.3994369506836),POINT (8.4979498 47.4033485),491.2539209734661
1662023786-1149,"Freudenbergstrasse 94, 8044 Zürich, ZH",47.38413238525391,8.55653190612793,995471959,Migros,POINT (8.55653190612793 47.38413238525391),POINT (8.5594679 47.3793846),615.7263198496807
1662023755-909,"Lavaterstr. 63, 8002 Zürich, ZH",47.36137771606445,8.53333854675293,262400822,Migros,POINT (8.53333854675293 47.36137771606445),POINT (8.5309446 47.3640724),398.3272772206011
1662023714-590,"Meientalstrasse 65, 8048 Zürich, ZH",47.385841369628906,8.478418350219727,2330421254,Migros,POINT (8.478418350219727 47.385841369628906),POINT (8.4875671 47.3882833),1052.1466179563813
1662023801-1270,"Affolternstrasse 154, 8050 Zürich, ZH",47.4113655090332,8.532044410705566,452160401,Spar,POINT (8.532044410705566 47.4113655090332),POINT (8.5280301 47.4115497),446.8302835489629
1662023786-1131,"Seestrasse 361, 8038 Zürich, ZH",47.345306396484375,8.533795356750488,4328291097,Coop,POINT (8.533795356750488 47.345306396484375),POINT (8.5330722 47.3471862),221.80003903768346
1662023730-716,"Hohlstr. 509, 8048 Zürich, ZH",47.388973236083984,8.493876457214355,267344304,ALDI,POINT (8.493876457214355 47.388973236083984),POINT (8.4965956 47.3883215),310.7341725824775
1662023798-1239,"Feldblumenstrasse 10, 8048 Zürich, ZH",47.38809967041016,8.482545852661133,2330421254,Migros,POINT (8.482545852661133 47.38809967041016),POINT (8.4875671 47.3882833),558.7023423076452
1662023695-453,"Letzigraben 171, 8047 Zürich, ZH",47.37362289428711,8.495223999023438,7294728303,Denner,POINT (8.495223999023438 47.37362289428711),POINT (8.4973375 47.3765114),395.14467114121277
1662023695-436,"Fritz Fleiner-Weg 11, 8044 Zürich, ZH",47.38129806518555,8.56221866607666,995471959,Migros,POINT (8.56221866607666 47.38129806518555),POINT (8.5594679 47.3793846),371.2467157919298
