web-scraper-order,web-scraper-start-url,title_raw,price_raw,ranking_raw,duration_raw,text_raw
"1713267369-1","https://www.tripadvisor.ch/Attraction_Products-g188045-t11889-zfg11867-o30-Switzerland.html","31. Titlis-Tagesausflug mit privatem Reiseleiter - beginnt in Luzern","CHF 496","5.0 von fünf Punkten1","6 - 8 Stunden","31. Titlis-Tagesausflug mit privatem Reiseleiter - beginnt in Luzern5.0 von fünf Punkten1IN DER REGEL SCHNELL AUSVERKAUFT*Historische Touren6 - 8 StundenKostenlose StornierungDeutsch + 2 weitereVerbringen Sie einen Tag auf dem Titlis mit Ihrem privaten Reiseleiter. Sie fahren eine Stunde ab Luzern mit dem Zug nach Engelberg. Von dort aus nehmen Sie die Gondel hinauf zum Titlis.  Mit Ihrem Reiseleiter entdecken Sie die höchste Hängebrücke Europas, die Eishöhle und den fantastischen Blick von den Terrassen auf die umliegenden Gletscher.ab  CHF 496 pro Erwachsenem (Preis variiert je nach Gruppengröße)Reservieren"
"1713267369-2","https://www.tripadvisor.ch/Attraction_Products-g188045-t11889-zfg11867-o30-Switzerland.html","32. Alpine Majestät: Exklusive Privattour von Luzern zum Jungfraujoch","CHF 699","","Mehr als 6 Stunden","32. Alpine Majestät: Exklusive Privattour von Luzern zum JungfraujochIN DER REGEL SCHNELL AUSVERKAUFT*Historische TourenMehr als 6 StundenKostenlose StornierungDeutsch + 2 weitereBegeben Sie sich auf eine außergewöhnliche Zugfahrt von Luzern nach Interlaken und weiter mit dem Eiger Express zum Jungfraujoch, dem „Gipfel Europas“. Tauchen Sie mit einem privaten Reiseleiter in die Wunder dieses Alpenparadieses ein und erkunden Sie berühmte Orte wie das Sphinx-Observatorium und den Eispalast. Dieses personalisierte Abenteuer verbindet eine malerische Zugfahrt, kulturelle Einblicke und die exklusive Führung eines privaten Reiseleiters nahtlos und sorgt so für ein umfassendes und unvergessliches Erlebnis inmitten der atemberaubenden Schweizer Alpen.ab  CHF 699 pro Erwachsenem (Preis variiert je nach Gruppengröße)Reservieren"
"1713267369-3","https://www.tripadvisor.ch/Attraction_Products-g188045-t11889-zfg11867-o30-Switzerland.html","33. Privattour zu den atemberaubendsten Insiderspots der Schweiz (1 Tag)","CHF 1’999","5.0 von fünf Punkten47","Mehr als 6 Stunden","33. Privattour zu den atemberaubendsten Insiderspots der Schweiz (1 Tag)5.0 von fünf Punkten47Von 100 % der Reisenden empfohlen100 % der Bewerter haben dieses Produkt mit mindestens 4 Punkten bewertet.Essen und TrinkenMehr als 6 StundenKostenlose StornierungDeutsch + 1 weitereEntdecken Sie atemberaubende Insider-Spots der Schweiz mit einem lokalen Myswisspanorama-Guide - ganz privat.

HÖHEPUNKTE:

• Geführt von einem hochgebildeten einheimischen Schweizer Guide - 100% flexibel

• Erfahren Sie interessante Stories über das Leben in der Schweiz, unsere Geschichte, Kultur und vieles mehr

• Erkunden Sie schöne versteckte Orte und Landschaften auf einer privaten Tagesreise in der Schweiz

• Genießen Sie ein köstliches Schweizer Picknick mit Raclette in einer atemberaubenden Landschaft

• Auf Wunsch halten wir an einem Schweizer Luxus-Schokoladen- und Bergkäsefabrikgeschäft an 

Wenn Sie Wünsche oder Bedürfnisse haben, lassen Sie es uns wissen. Wir werden alles versuchen, um Ihren Tag unvergesslich zu machen und bleiben zu 100% flexibel nach Ihren Wünschen.

ab  CHF 1’999 pro Gruppe (bis zu 3 Personen)Reservieren"
"1713267369-4","https://www.tripadvisor.ch/Attraction_Products-g188045-t11889-zfg11867-o30-Switzerland.html","34. Vierwaldstättersee Pick and Mix Tour - Burgenstock, Rigi Seebodenalp und Luzern","CHF 689","5.0 von fünf Punkten34","8 - 9 Stunden","34. Vierwaldstättersee Pick and Mix Tour - Burgenstock, Rigi Seebodenalp und Luzern5.0 von fünf Punkten34Von 100 % der Reisenden empfohlen100 % der Bewerter haben dieses Produkt mit mindestens 4 Punkten bewertet.Bustouren8 - 9 StundenKostenlose StornierungDeutsch + 1 weitereDie Vierwaldstättersee-Tour bietet Ihnen eine Vielzahl von Ausflugsmöglichkeiten, die die Schönheit dieser Tour ausmachen. Luzern wird auf der Liste aller Orte stehen, die man besuchen und möglicherweise zu Mittag essen kann. Dann gibt es eine Vielzahl von Orten, die man sehen oder besuchen kann. Die natürliche Schönheit und die atemberaubende Aussicht sind nie weit entfernt und machen diese Gegend zu einem Ort, an dem die Schweizer zu Hause sind. Ebenso viele faszinierende Orte in Luzern selbst, fahren Sie bis zum Burgenstock oder zur RIgi Seebodenalp. Besuchen Sie eine Schokoladen- oder Käsefabrik und probieren Sie ein paar davon oder stellen Sie Ihr eigenes Schweizer Taschenmesser oder Ihren eigenen Glasschmuck her. Wir machen uns auf den Weg durch die Dörfer am Vierwaldstättersee, damit Sie die Schönheit des Landesinneren der Schweiz kennenlernen können.ab  CHF 689 pro Erwachsenem (Preis variiert je nach Gruppengröße)Reservieren"
"1713267369-5","https://www.tripadvisor.ch/Attraction_Products-g188045-t11889-zfg11867-o30-Switzerland.html","35. Atemberaubende private Wanderung mit einem lokalen Schweizer Experten (1 Tagesausflug)","CHF 899","5.0 von fünf Punkten26","8 - 9 Stunden","35. Atemberaubende private Wanderung mit einem lokalen Schweizer Experten (1 Tagesausflug)5.0 von fünf Punkten26Von 100 % der Reisenden empfohlen100 % der Bewerter haben dieses Produkt mit mindestens 4 Punkten bewertet.Touren mit Allradfahrzeug8 - 9 StundenKostenlose StornierungDeutsch + 1 weitereEntdecken Sie mit einem lokalen Schweizer Experten die schönsten verborgenen Schätze auf einer atemberaubenden privaten Wanderung. Von der Abholung bis zum Picknick und der Rückgabe wird alles für Sie organisiert. Familienfreundliche Führer.

HIGHLIGHTS:

 ✓ Entdecken Sie die verborgensten Schätze der Natur auf einer privaten Wanderung in der Schweiz
 ✓ Erhalten Sie die einmalige Chance, sich von einem lokalen Schweizer Experten beraten zu lassen
 ✓ Genießen Sie ein köstliches Schweizer Picknick mit einer atemberaubenden Landschaft
 ✓ Jede Wanderung wird individuell auf Ihr Fitnessniveau und Ihre Wünsche abgestimmt
✓ 100 % Flexibilität: Halbtägige Wanderungen und halbtägige Besichtigungen sind ebenfalls möglich und werden sehr oft gewählt
ab  CHF 899 pro Erwachsenem (Preis variiert je nach Gruppengröße)Reservieren"
"1713267369-6","https://www.tripadvisor.ch/Attraction_Products-g188045-t11889-zfg11867-o30-Switzerland.html","36. Best of Bernese Oberland Tour ab Interlaken","CHF 721","5.0 von fünf Punkten12","Mehr als 6 Stunden","36. Best of Bernese Oberland Tour ab Interlaken5.0 von fünf Punkten12Von 100 % der Reisenden empfohlen100 % der Bewerter haben dieses Produkt mit mindestens 4 Punkten bewertet.Ganztägige TourenMehr als 6 StundenKostenlose StornierungEnglischGenießen Sie eine Fahrt durch einige der schönsten Landschaften der Schweiz.  Beginnen Sie Ihre Reise in Ihrem privaten und exklusiven Mercedes-Minibus und fahren Sie über den Brunig-Pass, um das spektakuläre Berner Oberland zu erreichen.  Wählen Sie dort die spektakulären Sehenswürdigkeiten aus, die Sie besuchen möchten.  Ihr Fahrer wird Ihnen interessante Kommentare auf der Route zu Ihren bevorzugten Zielen geben.  Wählen Sie zwischen einen von mehreren Gipfeln, die mit Seilbahnen und Zügen erreicht werden können – Jungfrau, Schilthorn oder First, die jeweils ihren ganz eigenen Charme haben.  Fahren Sie mit der Seilbahn zu den Reichenbach-Wasserfällen, wo nach dem Buch Sherlock Holmes sein Ende gefunden haben soll.  Besuchen Sie im Dorf das Sherlock Holmes Museum, bevor Sie zur faszinierenden Aare-Schlucht fahren, die 1.400 m lang und bis zu 200 m tief ist.ab  CHF 721 pro Erwachsenem (Preis variiert je nach Gruppengröße)Reservieren"
"1713267369-7","https://www.tripadvisor.ch/Attraction_Products-g188045-t11889-zfg11867-o30-Switzerland.html","37. Die Naturwunder der Schweiz: Privattour ab Luzern (1 Tag)","CHF 959","5.0 von fünf Punkten11","Mehr als 6 Stunden","37. Die Naturwunder der Schweiz: Privattour ab Luzern (1 Tag)5.0 von fünf Punkten11Von 100 % der Reisenden empfohlen100 % der Bewerter haben dieses Produkt mit mindestens 4 Punkten bewertet.Ganztägige TourenMehr als 6 StundenKostenlose StornierungDeutsch + 1 weitereEntdecken Sie atemberaubende Insider-Spots der Schweiz mit einem lokalen Myswisspanorama-Führer - ganz privat.

HÖHEPUNKTE:

• Geführt von einem hochgebildeten einheimischen Schweizer Guide - 100% flexibel

• Erfahren Sie interessante Stories über das Leben in der Schweiz, unsere Geschichte, Kultur und vieles mehr

• Erkunden Sie schöne versteckte Orte und Landschaften auf einer privaten Tagesreise in der Schweiz

• Genießen Sie ein köstliches Schweizer Picknick mit Raclette in einer atemberaubenden Landschaft

• Auf Wunsch halten wir an einem Schweizer Luxus-Schokoladen- und Bergkäsefabrikgeschäft an 

Wenn Sie Wünsche oder Bedürfnisse haben, lassen Sie es uns wissen. Wir werden alles versuchen, um Ihren Tag unvergesslich zu machen und bleiben zu 100% flexibel nach Ihren Wünschen.ab  CHF 959 pro Erwachsenem (Preis variiert je nach Gruppengröße)Reservieren"
"1713267369-8","https://www.tripadvisor.ch/Attraction_Products-g188045-t11889-zfg11867-o30-Switzerland.html","38. Ganztägige Wanderung durch die Schweizer Alpen und den Vierwaldstättersee mit Abholung","CHF 148","5.0 von fünf Punkten9","8 - 11 Stunden","38. Ganztägige Wanderung durch die Schweizer Alpen und den Vierwaldstättersee mit Abholung5.0 von fünf Punkten9Touren mit Allradfahrzeug8 - 11 StundenKostenlose StornierungDeutsch + 3 weitereBegeben Sie sich auf einen einzigartigen Schweizer Ausflug, geleitet von meiner Leidenschaft für Natur und Berge. Entdecken Sie bezaubernde Orte bei einer zauberhaften Bergwanderung mit anschließender Entspannung am See. Wir beginnen um 7-8 Uhr, wandern +/- 4 Stunden mit einem Lunchpaket. Wenn das Wetter es zulässt, entspannen wir uns am See, grillen sogar und machen Halt im Supermarkt. Bei schlechtem Wetter erwartet Sie ein gemütliches Bistro. Dieses gemeinsame Erlebnis bietet Platz für bis zu 9 Personen, einschließlich des Reiseleiters. Nehmen Sie an diesem fesselnden Abenteuer teil und erkunden Sie die verborgenen Schätze der Schweiz. Buchen Sie jetzt und tauchen Sie ein in die atemberaubende Schönheit der Alpen. Lassen Sie sich von den Wundern der Natur in Erstaunen versetzen!

Tour zum Göschneralpsee am Montag, Mittwoch, Freitag und Samstag, einem atemberaubenden See inmitten der Schweizer Berge. Besuchen Sie Rigi Scheidegg am Dienstag, Donnerstag und Sonntag und genießen Sie den Panoramablick auf die Schweizer Landschaft.

Buchen Sie jetzt für ein unvergessliches Schweizer Abenteuer!ab  CHF 148 pro Erwachsenem (Preis variiert je nach Gruppengröße)Reservieren"
"1713267369-9","https://www.tripadvisor.ch/Attraction_Products-g188045-t11889-zfg11867-o30-Switzerland.html","39. Best of Berner Oberland & Schweizer Landschaft (Private Tour)","CHF 680","5.0 von fünf Punkten8","Mehr als 6 Stunden","39. Best of Berner Oberland & Schweizer Landschaft (Private Tour)5.0 von fünf Punkten8Historische TourenMehr als 6 StundenKostenlose StornierungDeutsch + 7 weitereDiese Tour zeigt Ihnen das Beste der Schweizer Landschaft und des Berner Oberlandes. Es ist die perfekte Tour für alle, die nach versteckten Schätzen suchen und sehen möchten, wohin die Einheimischen gehen. Dieser komplette Tag vereint beste Aussichten auf Seen und Berge, eine authentische Seilbahnfahrt, das Tal der Wasserfälle, die Städte Interlaken und Bern und den ganzen Tag über idyllische Ausblicke. Kurz, aber knackig: Alles, was Sie an einem Tag sehen und erleben möchten, ohne die Menschenmassen.ab  CHF 680 pro Erwachsenem (Preis variiert je nach Gruppengröße)Reservieren"
"1713267369-10","https://www.tripadvisor.ch/Attraction_Products-g188045-t11889-zfg11867-o30-Switzerland.html","40. Bruchlandung auf Ihrer privaten Tagestour durch die Schweiz ab Zürich oder Luzern (CLOY)","CHF 965","5.0 von fünf Punkten8","8 - 9 Stunden","40. Bruchlandung auf Ihrer privaten Tagestour durch die Schweiz ab Zürich oder Luzern (CLOY)5.0 von fünf Punkten8Ganztägige Touren8 - 9 StundenKostenlose StornierungDeutsch + 1 weitereGönnen Sie sich mit Ihrem erstklassigen Myswisspanorama-Reiseleiter eine Reise durch einige der bezauberndsten Orte der erfolgreichen koreanischen Dramaserie „Crash Landing on You“. Genießen Sie die atemberaubende Aussicht auf die Schweizer Alpen, während Sie berühmte Orte wie den romantischen Picknickplatz in Lungern, die malerische Klavierszene in Iseltwald und das Grandhotel Victoria in Interlaken, eine Pracht der Schweizer Gastfreundschaft, besuchen. Erleben Sie das Abenteuer der Hängebrücke Sigriswil und die faszinierende Schönheit der Giessbachfälle. Genießen Sie ein traditionelles Schweizer Picknick-Buffet mit Gourmet-Snacks und luxuriöser Schokolade, während Sie in die ruhige Umgebung eintauchen.

Diese Reiseroute ist nur ein Vorschlag, teilen Sie uns Ihre Wünsche und Träume mit und wir passen sie entsprechend an und vergessen Sie nicht, unsere großartigen Myswisspanorama-Bewertungen von den anderen Touren zu lesen.ab  CHF 965 pro Erwachsenem (Preis variiert je nach Gruppengröße)Reservieren"
"1713267369-11","https://www.tripadvisor.ch/Attraction_Products-g188045-t11889-zfg11867-o30-Switzerland.html","41. Die Naturwunder der Schweiz: Privattour ab Basel (1 Tag)","CHF 969","5.0 von fünf Punkten8","8 - 9 Stunden","41. Die Naturwunder der Schweiz: Privattour ab Basel (1 Tag)5.0 von fünf Punkten8Ganztägige Touren8 - 9 StundenKostenlose StornierungDeutsch + 1 weitereEntdecken Sie atemberaubende Insider-Spots der Schweiz mit einem lokalen Myswisspanorama-Führer - ganz privat.

HÖHEPUNKTE:

• Geführt von einem hochgebildeten einheimischen Schweizer Guide - 100% flexibel

• Erfahren Sie interessante Stories über das Leben in der Schweiz, unsere Geschichte, Kultur und vieles mehr

• Erkunden Sie schöne versteckte Orte und Landschaften auf einer privaten Tagesreise in der Schweiz

• Genießen Sie ein köstliches Schweizer Picknick mit Raclette in einer atemberaubenden Landschaft

• Auf Wunsch halten wir an einem Schweizer Luxus-Schokoladen- und Bergkäsefabrikgeschäft an 

Wenn Sie Wünsche oder Bedürfnisse haben, lassen Sie es uns wissen. Wir werden alles versuchen, um Ihren Tag unvergesslich zu machen und bleiben zu 100% flexibel nach Ihren Wünschen.ab  CHF 969 pro Erwachsenem (Preis variiert je nach Gruppengröße)Reservieren"
"1713267369-12","https://www.tripadvisor.ch/Attraction_Products-g188045-t11889-zfg11867-o30-Switzerland.html","42. Best of Bernese Oberland Tour ab Zürich","CHF 752","5.0 von fünf Punkten7","Mehr als 6 Stunden","42. Best of Bernese Oberland Tour ab Zürich5.0 von fünf Punkten7Ganztägige TourenMehr als 6 StundenKostenlose StornierungEnglischGenießen Sie eine Fahrt durch einige der schönsten Landschaften der Schweiz.  Beginnen Sie Ihre Reise in Ihrem privaten und exklusiven Mercedes-Minibus und fahren Sie über den Brunig-Pass, um das spektakuläre Berner Oberland zu erreichen.  Wählen Sie dort die spektakulären Sehenswürdigkeiten aus, die Sie besuchen möchten.  Ihr Fahrer wird Ihnen interessante Kommentare auf der Route zu Ihren bevorzugten Zielen geben.  Wählen Sie zwischen einen von mehreren Gipfeln, die mit Seilbahnen und Zügen erreicht werden können – Jungfrau, Schilthorn oder First, die jeweils ihren ganz eigenen Charme haben.  Fahren Sie mit der Seilbahn zu den Reichenbach-Wasserfällen, wo nach dem Buch Sherlock Holmes sein Ende gefunden haben soll.  Besuchen Sie im Dorf das Sherlock Holmes Museum, bevor Sie zur faszinierenden Aare-Schlucht fahren, die 1.400 m lang und bis zu 200 m tief ist.ab  CHF 752 pro Erwachsenem (Preis variiert je nach Gruppengröße)Reservieren"
"1713267369-13","https://www.tripadvisor.ch/Attraction_Products-g188045-t11889-zfg11867-o30-Switzerland.html","43. Weihnachten über die 3 Grenzen hinweg","CHF 134","4.5 von fünf Punkten17","Mehr als 6 Stunden","43. Weihnachten über die 3 Grenzen hinweg4.5 von fünf Punkten17Von 94 % der Reisenden empfohlen94 % der Bewerter haben dieses Produkt mit mindestens 4 Punkten bewertet.Ganztägige TourenMehr als 6 StundenKostenlose StornierungDeutsch + 2 weitereKommen Sie und entdecken Sie Weihnachten an den Grenzen des Elsass, eine andere bezaubernde Atmosphäre. 

 Neuf-Brisach (Französisch), Fribourg en Brisgau (Deutschland), Basel (Schweiz)ab  CHF 134 pro Erwachsenem (Preis variiert je nach Gruppengröße)Reservieren"
