type;id;lat;lon;tags.amenity;tags.fixme;tags.name;tags.operator;tags.brand;tags.fuel:diesel;tags.wheelchair;tags.opening_hours;tags.brand:wikidata;tags.brand:wikipedia;tags.created_by;tags.addr:city;tags.addr:housenumber;tags.addr:postcode;tags.addr:street;tags.branch;tags.compressed_air;tags.website;tags.fuel:octane_95;tags.payment:cards;tags.self_service;tags.fuel:octane_98;tags.fuel:octane_100;tags.alt_name;tags.fuel:biogas;tags.fuel:cng;tags.fuel:HGV_diesel;tags.shop;tags.addr:country;tags.payment:american_express;tags.payment:maestro;tags.payment:mastercard;tags.payment:notes;tags.payment:visa;tags.maxheight;tags.payment:cash;tags.payment:coins;tags.payment:contactless;tags.payment:dkv;tags.payment:postfinance_card;tags.payment:reka;tags.payment:routex;tags.payment:v_pay;tags.payment:visa_electron;tags.fuel:1_25;tags.fuel:1_50;tags.fuel:GTL_diesel;tags.fuel:biodiesel;tags.fuel:e10;tags.fuel:e85;tags.fuel:electricity;tags.fuel:lpg;tags.fuel:octane_91;tags.fuel:GTL_diesel:name;tags.fuel:cng:maxheight;tags.fuel:octane_95:name;tags.fuel:octane_98:name;tags.fuel:others;tags.automated;tags.tenant;tags.opening_hours:covid19;tags.fuel:adblue;tags.level;tags.phone;tags.capacity;tags.cash_withdrawal;tags.cash_withdrawal:fee;tags.cash_withdrawal:purchase_required;tags.cash_withdrawal:type;tags.source;tags.currency:CHF;tags.currency:EUR;tags.payment:avia_card;tags.addr:place;tags.access;tags.contact:phone;tags.name:de;tags.vending;tags.vending_machine;tags.wheelchair:description;tags.car_wash;tags.designation;tags.contact:addr;tags.mapillary;tags.survey:date;tags.fuel:gasoline;tags.ref;tags.contact:email;tags.contact:fax;tags.contact:website;tags.note;tags.seamark:small_craft_facility:category;tags.seamark:type;tags.payment:bebeco;tags.url;tags.payment:credit_cards;tags.old_name;tags.ethanol;tags.ele;tags.payment:twint;tags.toilets:wheelchair;tags.check_date;tags.is_in;tags.tourism;tags.payment:debit_cards;tags.addr:housename;tags.check_date:opening_hours;tags.opening_hours:signed;tags.name:en;tags.internet_access;tags.fax;tags.toilets;tags.addr:state;tags.kiosk;tags.name:fr;tags.payment:others;tags.hgv;tags.payment:uta;tags.workshop;tags.description;tags.delivery:covid19;tags.takeaway:covid19;tags.email;tags.fuel:98E5;tags.fuel:gasoil;tags.fuel:2-cycle_mix;tags.atm;tags.payment:account_cards;tags.car;tags.seamark:information;tags.payment:postcard;tags.fuel:super;tags.waterway;tags.building;tags.source:addr;tags.payment:myone;tags.name:it;tags.repair;tags.sale;tags.payment:moveri_card;tags.fuel:propane;tags.internet_access:fee;tags.fuel:octane_80;tags.payment:diners_club;tags.fuel:octane_92;tags.addr:street:fr;tags.addr:full;tags.layer;tags.fuel:octane_96;tags.fuel:octane_99;tags.payment:post.ch;tags.addr:suburb;tags.self_service:conditional;tags.addr:street:de;tags.entrance;tags.fuel:100LL;tags.fuel:JetA1;tags.payment:avia;tags.payment:diners_club_international;tags.payment:socar_card;tags.payment:tamoil_card;tags.fuel:LH2;tags.fuel:v-power_diesel;tags.fuel:benzin;tags.fee;tags.name:signed;tags.noname;tags.fuel;tags.fuel:air;tags.payment:cryptocurrencies;tags.payment:electronic_purses;tags.fuel:octane_87;tags.payment:post_finance;tags.payment:reka_card;tags.covered;tags.payment:girocard;tags.fuel:diesel_plus;tags.construction;tags.payment:shell;tags.dog;tags.payment:hubrol_card
node;734402;46.6905993;7.6681887;fuel;Please check name and brand. Agip becomes Eni. See http://lists.openstreetmap.ch/pipermail/talk-ch/2019-January/009849.html for (german) discussion.;Agip;Agip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;1228781;46.8785984;7.5423261;fuel;;;BP;BP;yes;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;5702030;46.6805465;7.8274119;fuel;;Migrol;;;;;24/7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;5702071;46.6834149;7.8445587;fuel;;Avia;Avia;Avia;;;;Q300147;de:Avia International;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;8082505;46.6838171;7.6644266;fuel;;;;;;limited;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;17407058;47.0547266;7.6253785;fuel;;Moveri Burgdorf;Shell;;;;;;;Potlatch 0.5d;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;27069561;47.3963906;8.6233174;fuel;;SOCAR Zur Schmiede;SOCAR Energy Switzerland;SOCAR;;yes;24/7;Q1622293;;;Dübendorf;44;8600;Usterstrasse;Dübendorf Zur Schmiede;yes;https://www.socarenergy.ch/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;27125026;47.4010933;8.6199554;fuel;;BP Garage Tresch;Tresch Automobile;BP;yes;;;Q152057;en:BP;;;;;;Dübendorf;;;yes;yes;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;28219645;47.4320909;8.676093;fuel;;;Markwalder AG;BP;yes;;;;;;;;;;;;;yes;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;29881492;47.686119;8.621418;fuel;;Shell Rheinfall;Shell (Switzerland);Shell;yes;;;Q110716465;;;Neuhausen am Rheinfall;38;8212;Schaffhauserstrasse;Neuhausen Rheinfall;yes;https://find.shell.com/ch/fuel/10023368-shell-rheinfall/de_CH;yes;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
