,web-scraper-order,address_raw,datetime,rooms,area,luxurious,price,price_per_m2,lat,lon,bfs_number,bfs_name,pop,pop_dens,frg_pct,emp
0,1662023695-433,"Sunnenbergstrasse 15, 8633 Wolfhausen, ZH",2022-09-17 11:44:57,3.5,122,1,3180,26.07,47.25571441650391,8.804975509643555,112,Bubikon,7344,632.5581395349,11.4106753813,3617.0
1,1662023720-634,"Blumenbergstrasse 7, 8633 Wolfhausen, ZH",2022-09-17 11:44:57,4.0,87,0,1690,19.43,47.254878997802734,8.793745994567871,112,Bubikon,7344,632.5581395349,11.4106753813,3617.0
2,1662023745-834,"8608 Bubikon, ZH",2022-09-17 11:44:57,3.5,92,0,2350,25.54,47.27738571166992,8.80030632019043,112,Bubikon,7344,632.5581395349,11.4106753813,3617.0
3,1662023701-503,"8608 Bubikon, ZH",2022-09-17 11:44:57,3.5,130,0,2500,19.23,47.27738571166992,8.80030632019043,112,Bubikon,7344,632.5581395349,11.4106753813,3617.0
4,1662023745-820,"Lavaterstr. 63, 8002 Zürich, ZH",2022-09-17 11:44:57,2.5,78,0,3760,48.21,47.36137771606445,8.53333854675293,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0
5,1662023739-771,"Parkring 59, 8002 Zürich, ZH",2022-09-17 11:44:57,5.5,195,1,6900,35.38,47.36689758300781,8.528817176818848,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0
6,1662023720-640,"Flobotstrasse 2, 8044 Zürich, ZH",2022-09-17 11:44:57,2.5,59,0,2920,49.49,47.37957763671875,8.570284843444824,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0
7,1662023686-384,"Hinterbergstrasse 57, 8044 Zürich, ZH",2022-09-17 11:44:57,3.0,75,0,3003,40.04,47.38201522827149,8.556857109069824,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0
8,1662023789-1164,"Nansenstrasse 7, 8050 Zürich, ZH",2022-09-17 11:44:57,2.5,58,0,1780,30.69,47.410762786865234,8.545214653015137,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0
9,1662023764-980,"Wehntalerstrasse 223, 8057 Zürich, ZH",2022-09-17 11:44:57,3.0,52,0,1600,30.77,47.40802001953125,8.529781341552734,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0
10,1662023767-1007,"Baumackerstrasse 47, 8050 Zürich, ZH",2022-09-17 11:44:57,1.0,15,0,1240,82.67,47.40944290161133,8.542278289794922,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0
11,1662023704-520,"Zwischenbächen 139, 8048 Zürich, ZH",2022-09-17 11:44:57,1.5,35,0,1870,53.43,47.380489349365234,8.4798002243042,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0
12,1662023698-468,"Hallwylstrasse 84, 8004 Zürich, ZH",2022-09-17 11:44:57,2.5,75,0,3240,43.2,47.369815826416016,8.526166915893555,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0
13,1662023789-1172,"Pfingstweidstrasse 104 E, 8005 Zürich, ZH",2022-09-17 11:44:57,2.0,80,1,2790,34.88,47.39086151123047,8.509053230285645,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0
14,1662023752-867,"Altwiesenstrasse 346, 8051 Zürich, ZH",2022-09-17 11:44:57,3.5,76,0,1990,26.18,47.39995956420898,8.590506553649902,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0
15,1662023761-945,"Badenerstrasse 250, 8004 Zürich, ZH",2022-09-17 11:44:57,1.5,25,0,2100,84.0,47.3759880065918,8.516037940979004,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0
16,1662023774-1056,"Schöntalstrasse 27, 8004 Zürich, ZH",2022-09-17 11:44:57,2.5,48,0,3190,66.46,47.37080764770508,8.526028633117676,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0
17,1662023761-941,"Am Wasser 161, 8049 Zürich, ZH",2022-09-17 11:44:57,1.5,32,0,2100,65.62,47.3994369506836,8.495816230773926,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0
18,1662023786-1149,"Freudenbergstrasse 94, 8044 Zürich, ZH",2022-09-17 11:44:57,4.5,128,0,6630,51.8,47.38413238525391,8.55653190612793,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0
19,1662023755-909,"Lavaterstr. 63, 8002 Zürich, ZH",2022-09-17 11:44:57,2.5,79,0,3500,44.3,47.36137771606445,8.53333854675293,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0
20,1662023714-590,"Meientalstrasse 65, 8048 Zürich, ZH",2022-09-17 11:44:57,2.5,82,0,2875,35.06,47.385841369628906,8.478418350219727,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0
21,1662023801-1270,"Affolternstrasse 154, 8050 Zürich, ZH",2022-09-17 11:44:57,5.5,195,1,4200,21.54,47.4113655090332,8.532044410705566,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0
22,1662023786-1131,"Seestrasse 361, 8038 Zürich, ZH",2022-09-17 11:44:57,1.0,45,0,1216,27.02,47.345306396484375,8.533795356750488,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0
23,1662023730-716,"Hohlstr. 509, 8048 Zürich, ZH",2022-09-17 11:44:57,2.5,73,0,2378,32.58,47.388973236083984,8.493876457214355,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0
